BX,Blackstone Inc.,151.05B,122.79,1.58%,14.40B
PFE,Pfizer Inc.,149.38B,26.21,0.15%,63.32B
ISRG,"Intuitive Surgical, Inc.",145.58B,411.06,-0.45%,10.58B
COP,ConocoPhillips,142.52B,116.98,1.40%,59.38B
PLD,"Prologis, Inc.",141.65B,148.74,1.05%,9.38B
UBER,"Uber Technologies, Inc.",140.15B,68.85,-1.01%,53.69B
HON,Honeywell International Inc.,139.60B,220.31,0.54%,37.66B
CRM,"Salesforce, Inc.",135.86B,165.89,-0.34%,42.83B
CVS,CVS Health Corporation,130.09B,101.96,1.47%,405.62B
BKNG,Booking Holdings Inc.,127.81B,164.94,0.83%,27.69B
DHR,Danaher Corporation,127.47B,180.10,-0.38%,24.78B
CB,Chubb Limited,127.27B,328.14,0.06%,60.99B
LMT,Lockheed Martin Corporation,124.58B,540.33,-1.52%,75.11B
SPGI,S&P Global Inc.,123.99B,418.91,1.35%,15.73B
LOW,"Lowe's Companies, Inc.",123.79B,220.78,-0.12%,88.43B
MO,"Altria Group, Inc.",120.13B,71.94,0.74%,20.38B
SYK,Stryker Corporation,119.69B,312.20,2.15%,25.27B
PGR,The Progressive Corporation,118.68B,203.11,0.42%,89.42B
SBUX,Starbucks Corporation,117.43B,103.04,0.74%,38.47B
BMY,Bristol-Myers Squibb Company,116.66B,57.13,0.40%,48.48B
VRT,Vertiv Holdings Co,116.34B,302.87,1.68%,10.84B
PH,Parker-Hannifin Corporation,113.92B,903.48,0.12%,20.99B
COF,Capital One Financial Corporation,113.80B,184.73,1.48%,36.31B
VRTX,Vertex Pharmaceuticals Incorporated,112.92B,444.93,-0.03%,12.22B
FTNT,"Fortinet, Inc.",107.19B,146.30,0.85%,7.11B
NEM,Newmont Corporation,106.56B,100.23,2.71%,24.97B
PWR,"Quanta Services, Inc.",106.20B,707.74,3.58%,30.12B
CDNS,"Cadence Design Systems, Inc.",106.18B,384.96,0.32%,5.53B
MAR,"Marriott International, Inc.",106.15B,402.54,1.42%,7.18B
SO,The Southern Company,105.97B,94.00,0.78%,30.18B
HWM,Howmet Aerospace Inc.,105.90B,264.67,0.03%,8.62B
